Key,Id,English(en),Japanese(ja),Korean(ko)
"Provide",139039577882624,"Provide","供給","공급"
"Efficiency",139184558194688,"Efficiency","効率","효율"
"Satisfaction",821549664190464,"Satisfaction","満足度","만족도"
"Salary",821897967583232,"Salary","日給","일당"
"Employment",821686377529344,"Employment","採用","고용"
"Total Salary",828943693660160,"Total Salary","合計日給","총 일당"
"Very Low",829479545356288,"Very Low","非常に低い","매우 낮음"
"Low",829850258915328,"Low","低い","낮음"
"Normal",829996099059712,"Normal","普通","보통"
"High",832125903716352,"High","高い","높음"
"Very High",832342812147712,"Very High","非常に高い","매우 높음"
"Efficiency Status",834105048973312,"Efficiency Status","効率状態","효율 상태"
"Satisfaction Status",837713131880448,"Satisfaction Status","満足状態","만족도 상태"
"Count",834127593357312,"Count","数","수"
"Research Point",840083911884800,"Research Point","研究ポイント","연구 포인트"
"Change Effect Status",840589317128192,"Change Effect Status","効果状態","효과 상태"
"News",840826593099776,"News","ニュース","뉴스"
"Managment",841202692145152,"Managment","管理度","관리도"
"Left",1201322299113472,"Left","左","왼쪽"
"Right",1201325092519936,"Right","右","오른쪽"
"Building Mode",1201327516827648,"Building Mode","建築モード","건설 모드"
"Removal Mode",1201328489906176,"Removal Mode","削除モード","제거 모드"
"Save",1202133720776704,"Save","保存","저장"
"Load",1202160061005824,"Load","読み込み","로드"
"Exit",1202171805057024,"Exit","終了","나가기"
"Save Thread",1202630846464000,"Save Thread","スレッド保存","스레드 저장"
"Thread Name",1202736043802624,"Thread Name","スレッド名","스레드 이름"
"Category",1202752342867968,"Category","カテゴリー","카테고리"
"Material",1202914645655552,"Material","材料","재료"
"Product",1203055897231360,"Product","製品","제품"
"Enter Name",1205398315352064,"Enter Name","名前を入力","이름 입력"
"OK",1205624384143360,"OK","OK","확인"
"Manage Thread",1206435495428096,"Manage Thread","スレッド管理","스레드 관리"
"Rename",1208291269427200,"Rename","名前変更","이름 변경"
"Delete",1208330368729088,"Delete","削除","삭제"
"Thread Cartegory",1208475260960768,"Thread Category","スレッドカテゴリー","스레드 카테고리"
"Research Effects",2975805825499136,"Research Effects","研究効果","연구 효과"
"Research",2976802937389056,"Research","研究","연구"
"Name	",3623468774342656,"Name	","名前","이름"
"Inventory",3624501495873536,"Inventory","在庫","재고"
"Price",3624718412693504,"Price","価格","가격"
"Buy Price",3624781545357312,"Buy Price","購入価格","구매 가격"
"Sell Price",3626057641377792,"Sell Price","売価","판매 가격"
"Apply",3629248013549568,"Apply","適用","적용"
"Exit Game",3629356734103552,"Exit Game","ゲーム終了","게임종료"
"Background Sound",3629698750234624,"Background Sound","背景音楽","배경음악"
"Effect Sound",3629811170164736,"Effect Sound","エフェクトサウンド","이펙트 사운드"
"Build Cost",4430228779057152,"Build Cost","建設費","건축 비용"
"Maintenance",4430339647094784,"Maintenance","維持費","유지비"
"Maintenance Cost",4435693617430528,"Maintenance Cost","維持費","유지비"
"Material Purchase",4437906502860800,"Material Purchase","品目購入費用","자재 구매 비용"
"Product Price",4438087889731584,"Product Price","商品価格","제품 가격"
"Expected profit",4438241380286464,"Expected profit","予想利益","예상 이익"
"Reset",4846360811945984,"Reset","初期化","초기화"
"Buildings requiring expertise",5085346176319488,"Buildings requiring expertise","専門性が必要な建物","전문성이 필요한 건물"
"Production progress",5137769091710976,"Production progress","生産進捗","생산 진도"
"Required Employee",5790638061010944,"Required Employee","必要なスタッフ","필요한 직원"
"Finance",5811090242289664,"Finance","財源","재정"
"Total Welth",5829164722962432,"Total Welth","総資産","총 자산"
"Credit",5829236516864000,"Credit","クレジット","크레딧"
"Monthly growth rate",5867400837087232,"Monthly growth rate","月成長率","월 성장률"
"Monthly profit",5867590201524224,"Monthly profit","月収益","월 수익"
"Trust",6186306437005312,"Trust","信頼度","신뢰도"
"Wealth",6186432832356352,"Wealth","資産","자산"
"Consume",6192745884827648,"Consume","消費","소비"
"All",6618040123146240,"All","全体","전체"
"Accepted Order",6882479783165952,"Accepted Order","受け入れた依頼","수락한 의뢰"
"Remaining period",6888989527523328,"Remaining period","残りの期間","남은 기간"
"Reward Trust",6900129099825152,"Reward Trust","得る信頼性","얻는 신뢰"
"Type of Order",7046105819136000,"Type of Order","依頼の種類","의뢰 종류"
"Reward Cradit",7051428965531648,"Reward Cradit","取得するクレジット","얻는 크레딧"
"Max Employee",7253072416227328,"Max Employee","最大従業員数","최대 직원 수"
"Required Technician",7254054646726656,"Required Technician","必須技術者数","필수 기술자 수"
"Language",7366665979707392,"Language","言語","언어"
"New Game",7378564653924352,"New Game","新しいゲーム","새로운 게임"
"Load Game",7378644786102272,"Load Game","ゲームを読み込む","게임 불러오기"
"Setting",7613205935702016,"Setting","設定","설정"
"Save Game",7771937462173696,"Save Game","ゲームを保存","게임 저장"
"Save Load",7961787373076480,"Save Load","保存して読み込む","저장 및 불러오기"
"Thread Count",7969719171039232,"Thread Count","スレッド数","스레드 갯수"
"Yes",7984511986319360,"Yes","はい","네"
"No",7984575139954688,"No","いいえ","아니요"
"New Savefile",7990221100957696,"New Savefile","新しいセーブファイル","새로운 세이브파일"
"Go Title",8077524498530304,"Go Title","タイトルへ","타이틀로"
"Confirm",10615943929937920,"Confirm","確認","확인"
"When Hire",10626581280473088,"When Hire","雇用時","고용 시"
"When Fire",10626863544549376,"When Fire","解雇するとき","해고할 때"
"Before",11595204534878208,"Before","以前","이전"
"Next",11595284792885248,"Next","次","다음"
"Storage",33351417856,"Storage","ストレージ","창고"
"Market",864226263040,"Market","マーケット","시장"
"Employment",864226263041,"Employment","雇用","채용"
"Research",864226263042,"Research","研究","연구"
"News",864226263043,"News","ニュース","뉴스"
"Order",864226263044,"Order","注文","주문"
"Finance",5842431105187840,"Finance","財源","재정"
"Resources",5866143774,"Resources","リソース","자원"
"Traders",5866143775,"Traders","トレーダー","거래자"
"LoadConfirm",864226269002,"Load this save file?","このセーブファイルを読み込みますか？","이 세이브 파일을 로드할까요?"
"DeleteConfirm",864226269003,"Are you sure you want to delete this?","本当に削除しますか？","정말로 삭제하시겠습니까?"
"UnsavedProgressConfirm",864226269004,"Unsaved progress will be lost. Continue?","保存されていない進行状況は失われます。続行しますか？","저장되지 않은 진행 상황은 손실됩니다. 계속하시겠습니까?"
"OverwriteConfirm",864226269005,"This slot already has a save. Overwrite?","このスロットには既にセーブがあります。上書きしますか？","이 슬롯에 이미 저장된 파일이 있습니다. 덮어쓰시겠습니까?"
"ResearchCannotUnlock",864226268001,"Research cannot be unlocked.","研究を解除できません。","연구를 해금할 수 없습니다."
"PleaseEnterCategoryName",864226268002,"Please enter a category name.","カテゴリー名を入力してください。","카테고리 이름을 입력해 주세요."
"FailedToCreateCategory",864226268003,"Failed to create category.","カテゴリーの作成に失敗しました。","카테고리 생성에 실패했습니다."
"FailedToRenameCategory",864226268004,"Failed to rename category.","カテゴリーの名前変更に失敗しました。","카테고리 이름 변경에 실패했습니다."
"DeleteCategoryConfirm",864226268005,"Delete the selected category?","選択したカテゴリーを削除しますか？","선택한 카테고리를 삭제할까요?"
"FailedToDeleteCategory",864226268006,"Failed to delete category.","カテゴリーの削除に失敗しました。","카테고리 삭제에 실패했습니다."
"PleaseEnterThreadName",864226268007,"Please enter a thread name.","スレッド名を入力してください。","스레드 이름을 입력해 주세요."
"SavedSuccessfully",864226268008,"Saved successfully.","保存しました。","저장했습니다."
"BuildingLockedResearchRequired",864226268009,"This building is locked. Complete the required research to unlock it.","この建物はロックされています。必要な研究を完了して解除してください。","이 건물은 잠겨 있습니다. 필요한 연구를 완료하여 해금하세요."
"ThreadDeleted",864226268010,"The thread has been deleted.","スレッドを削除しました。","스레드가 삭제되었습니다."
"BuildingLocked",864226268011,"This is locked.","ロックされています。","잠겨 있습니다."
