Key,Id,English(en),Japanese(ja),Korean(ko)
"artisan_furniture_workshop",864226269001,"Artisan Furniture Workshop","職人家具工房","장인 가구 공방"
"artisan_furniture_workshop_Desc",864226269101,"Master craftsmen who turn premium wood into bespoke furniture and architectural elements for luxury estates.","上質な木材を高級邸宅向けの特注家具や建築部材に仕上げる職人集団。","고급 목재를 럭셔리 부동산용 맞춤 가구와 건축 요소로 만드는 장인들."
"automotive_industry_group",864226269002,"Automotive Industry Group","自動車産業グループ","자동차 산업 그룹"
"automotive_industry_group_Desc",864226269102,"A major automotive manufacturer producing cars, trucks, and military vehicles for civilian and government markets.","民間・政府向けに自動車、トラック、軍用車両を生産する大手自動車メーカー。","민간·정부 시장용 자동차, 트럭, 군용 차량을 생산하는 주요 자동차 제조사."
"electronics_manufacturing_corp",864226269004,"Electronics Manufacturing Corp","電子機器製造会社","전자 제조 회사"
"electronics_manufacturing_corp_Desc",864226269104,"A major electronics manufacturer producing motors, light bulbs, and wiring for industrial and consumer markets.","産業・民生向けにモーター、電球、配線を生産する大手電子機器メーカー。","산업·소비자 시장용 모터, 전구, 배선을 생산하는 주요 전자 제조사."
"elite_armaments_group",864226269005,"Elite Armaments Group","精鋭兵器グループ","정예 병기 그룹"
"elite_armaments_group_Desc",864226269105,"A prestige weapons conglomerate that outfits military units and security forces with premium steel, gold, and advanced weaponry.","軍・警備部隊に高級鋼材、金、先進兵器を供給する一流兵器コングロマリット。","군대와 경비 부대에 고급 강철, 금, 첨단 무기를 공급하는 일류 병기 콩글로머릿."
"fashion_retail_chain",864226269007,"Fashion Retail Chain","ファッション小売チェーン","패션 리테일 체인"
"fashion_retail_chain_Desc",864226269107,"A nationwide clothing retailer offering both basic and premium fashion for everyday consumers and luxury markets.","一般消費者から富裕層まで、ベーシックから高級まで幅広いファッションを提供する全国チェーン。","일반 소비자와 럭셔리 시장을 위해 기본부터 고급 패션까지 제공하는 전국 의류 소매 체인."
"frontier_sawmill",864226269008,"Frontier Sawmill","辺境製材所","개척지 제재소"
"frontier_sawmill_Desc",864226269108,"Pioneering lumber mills that flood the market with processed timber and furniture while buying raw logs in bulk from suppliers.","加工木材と家具を市場に大量供給し、仕入れ業者から原木を大口購入する開拓地の製材所。","가공 목재와 가구를 시장에 쏟아 붓고, 공급처에서 원목을 대량 구매하는 개척지 제재소."
"global_resource_syndicate",864226269009,"Global Resource Syndicate","大陸資源シンジケート","대륙 자원 신디케이트"
"global_resource_syndicate_Desc",864226269109,"Empire-spanning traders that consolidate precious metals, fine lumber, and refined ingots for government and corporate contracts.","帝国全域で貴金属、上質木材、精製インゴットを集約し政府・企業契約に供給する商社。","제국 전역에서 귀금속, 고급 목재, 정제 잉곳을 모아 정부·기업 계약에 공급하는 무역업체."
"imperial_logistics_bureau",864226269010,"Imperial Logistics Bureau","帝国物流局","제국 물류국"
"imperial_logistics_bureau_Desc",864226269110,"The empire's central distribution network, coordinating the flow of essential resources across provinces while maintaining strategic reserves for imperial operations.","帝国の中央物流網。諸州間の重要資源の流れを調整し、帝国作戦用の戦略備蓄を維持する。","제국의 중앙 유통망. 각 지역 간 필수 자원의 흐름을 조율하고 제국 작전용 전략 비축을 유지한다."
"industrial_brokerage_network",864226269011,"Industrial Brokerage Network","産業ブローカー網","산업 중개 네트워크"
