Key,Id,English(en),Japanese(ja),Korean(ko)
"order_art_collector_premium_furniture",864226270001,"Premium Furniture Supply Contract","高級家具納品契約","고급 가구 공급 계약"
"order_diplomatic_corps_premium_furniture",864226270002,"Premium Furniture Supply Contract","高級家具納品契約","고급 가구 공급 계약"
"order_global_resource_syndicate_multi",864226270003,"Premium Resources Supply Contract","高級資源納品契約","고급 자원 공급 계약"
"order_imperial_academy_multi",864226270004,"Research Materials Supply Contract","研究材料納品契約","연구 재료 공급 계약"
"order_imperial_guard_small_arms",864226270005,"Small Arms Supply Contract","小火器納品契約","경화기 공급 계약"
"order_imperial_logistics_bureau_multi",864226270006,"Industrial Materials Supply Contract","工業材料納品契約","산업 자재 공급 계약"
"order_imperial_treasury_multi",864226270007,"Imperial Metals Supply Contract","帝国金属納品契約","제국 금속 공급 계약"
"order_industrial_brokerage_network_multi",864226270008,"Metal & Tools Supply Contract","金属・工具納品契約","금속 및 도구 공급 계약"
"order_industrial_investor_aluminum_ingot",864226270009,"Aluminum Ingot Supply Contract","アルミ地金納品契約","알루미늄 괴 공급 계약"
"order_master_craftsman_premium_wood",864226270010,"Premium Wood Supply Contract","高級木材納品契約","고급 목재 공급 계약"
"order_merchant_guild_aluminum_ingot",864226270011,"Aluminum Ingot Supply Contract","アルミ地金納品契約","알루미늄 괴 공급 계약"
"order_military_procurement_office_multi",864226270012,"Military Equipment Supply Contract","軍備品納品契約","군장비 공급 계약"
"order_national_exchange_multi",864226270013,"Mixed Resources Supply Contract","混合資源納品契約","혼합 자원 공급 계약"
"order_noble_estate_premium_furniture",864226270014,"Premium Furniture Supply Contract","高級家具納品契約","고급 가구 공급 계약"
"order_premium_industrial_logistics_multi",864226270015,"Premium Metals & Tools Supply Contract","高級金属・工具納品契約","고급 금속 및 도구 공급 계약"
"order_private_collector_pure_gold",864226270016,"Pure Gold Supply Contract","純金納品契約","순금 공급 계약"
"order_public_works_department_multi",864226270017,"Infrastructure Materials Supply Contract","インフラ材料納品契約","인프라 자재 공급 계약"
"order_royal_court_premium_furniture",864226270018,"Premium Furniture Supply Contract","高級家具納品契約","고급 가구 공급 계약"
"order_scholar_electronic_components",864226270019,"Electronic Components Supply Contract","電子部品納品契約","전자 부품 공급 계약"
"order_treasury_reserve_pure_gold",864226270020,"Pure Gold Supply Contract","純金納品契約","순금 공급 계약"
"order_verdant_continental_exchange_multi",864226270021,"Timber & Arms Supply Contract","木材・小火器納品契約","원목 및 경화기 공급 계약"
"order_wealthy_merchant_iron_ingot",864226270022,"Iron Ingot Supply Contract","鉄地金納品契約","철 괴 공급 계약"
"order_weapon_enthusiast_small_arms",864226270023,"Small Arms Supply Contract","小火器納品契約","경화기 공급 계약"
