Key,Id,English(en),Japanese(ja),Korean(ko)
"news_arms_race",7000000000001,"Global Arms Race","世界的な軍拡競争","전 세계적 군비 경쟁"
"news_arms_race_Desc",7000000001001,"Escalating conflicts have sparked a global arms race. Prices are rising for small arms, heavy arms, munitions, and battle tanks.","国際紛争の激化で世界的な軍拡競争が勃発。小型火器・重火器・弾薬・戦車の価格が上昇している。","국제 갈등 격화로 전 세계적 군비 경쟁이 촉발되었습니다. 소화기, 중화기, 탄약, 전차 가격이 상승하고 있습니다."
"news_auto_surge",7000000000002,"Auto Industry Surge","自動車産業好況","자동차 산업 호황"
"news_auto_surge_Desc",7000000001002,"Technological advances and subsidies are fueling an auto boom. Prices are up for cars, engines, steel and iron ingots, aluminum, and crude oil.","技術革新と補助金で自動車ブームが到来。自動車・エンジン・鋼材・鉄インゴット・アルミニウム・原油の価格が上昇。","기술 혁신과 보조금으로 자동차 붐이 일고 있습니다. 자동차, 엔진, 강철·철 인곳, 알루미늄, 원유 가격이 오르고 있습니다."
"news_aviation_breakthrough",7000000000003,"Aviation Breakthrough","航空技術の突破口","항공 기술의 돌파구"
"news_aviation_breakthrough_Desc",7000000001003,"Revolutionary aerospace designs are revitalizing the market. Fighter jets, aluminum, engines, and electronic components are rising in price.","革新的な航空設計が市場を活性化。戦闘機・アルミニウム・エンジン・電子部品の価格が上昇している。","혁신적인 항공 설계가 시장을 살리고 있습니다. 전투기, 알루미늄, 엔진, 전자 부품 가격이 상승하고 있습니다."
"news_chip_shortage",7000000000004,"Global Chip Shortage","深刻な半導体不足","글로벌 칩 부족"
"news_chip_shortage_Desc",7000000001004,"Supply chain disruptions have halted semiconductor output. Electronic components, precision tools, and machine parts are rising in price.","サプライチェーン混乱で半導体生産が停滞。電子部品・精密工具・機械部品の価格が急上昇している。","공급망 차질로 반도체 생산이 중단되었습니다. 전자 부품, 정밀 공구, 기계 부품 가격이 급등하고 있습니다."
"news_cyber_monday",7000000000005,"Global Cyber Sales","サイバーマンデーセール","글로벌 사이버 세일"
"news_cyber_monday_Desc",7000000001005,"A massive online sale has emptied warehouses. Electronics, basic and premium clothing, furniture, and simple tools are in record demand.","大規模オンラインセールで倉庫が空に。電子部品・衣類（一般・高級）・家具・簡易工具の需要が過去最高。","대규모 온라인 세일로 창고가 비었습니다. 전자 부품, 기본·고급 의류, 가구, 단순 공구 수요가 사상 최고입니다."
"news_gold_surge",7000000000006,"Gold Price Skyrockets!","金価格高騰！","금값 폭등!"
"news_gold_surge_Desc",7000000001006,"Economic instability is driving investors to safe havens. Gold ore and pure gold prices are climbing steeply.","経済不安で投資家が安全資産へ殺到。金鉱石と純金の価格が急上昇している。","경제 불안으로 투자자들이 안전 자산으로 몰리고 있습니다. 금광석과 순금 가격이 급등하고 있습니다."
"news_housing_boom",7000000000007,"Global Housing Boom","世界的な住宅ブーム","글로벌 주택 붐"
"news_housing_boom_Desc",7000000001007,"Rapid urbanization has sparked a construction frenzy. Steel, machine parts, simple tools, wood logs, fine and premium wood, and basic and premium furniture prices are surging.","急速な都市化で建設ラッシュ。鋼材・機械部品・簡易工具・原木・良木・高級木材・家具（一般・高級）の価格が急騰。","급격한 도시화로 건설 붐이 일었습니다. 강철, 기계 부품, 단순 공구, 원목, 좋은 목재, 고급 목재, 기본·고급 가구 가격이 급등하고 있습니다."
"news_luxury_ban",7000000000008,"Luxury Goods Prohibition","贅沢品禁止令","사치품 금지령"
"news_luxury_ban_Desc",7000000001008,"New sumptuary laws ban luxury sales in major markets. Premium clothing, premium furniture, and pure gold prices are falling.","新たな奢侈禁止令で高級品販売が禁止。高級衣類・高級家具・純金の価格が下落している。","새 사치 금지법으로 고급품 판매가 금지되었습니다. 고급 의류, 고급 가구, 순금 가격이 하락하고 있습니다."
"news_mining_collapse",7000000000009,"Mining Shaft Collapse","鉱山崩落事故","광산 붕괴 사고"
